,anoFundacao,intervaloFundacao
752,2011.0,De 6 a 10 anos
753,2004.0,De 11 a 16 anos
754,1987.0,Acima de 17 anos
755,1992.0,Acima de 17 anos
756,2015.0,De 0 a 5 anos
757,2011.0,De 6 a 10 anos
758,2015.0,De 0 a 5 anos
759,2013.0,De 6 a 10 anos
760,1989.0,Acima de 17 anos
761,1997.0,Acima de 17 anos
762,2015.0,De 0 a 5 anos
763,2006.0,De 11 a 16 anos
764,1991.0,Acima de 17 anos
765,2008.0,De 11 a 16 anos
766,2005.0,De 11 a 16 anos
767,1997.0,Acima de 17 anos
768,1999.0,Acima de 17 anos
769,2019.0,De 0 a 5 anos
770,1993.0,Acima de 17 anos
771,2016.0,De 0 a 5 anos
772,1991.0,Acima de 17 anos
773,2009.0,De 11 a 16 anos
774,2017.0,De 0 a 5 anos
775,2016.0,De 0 a 5 anos
776,2019.0,De 0 a 5 anos
777,2018.0,De 0 a 5 anos
778,2018.0,De 0 a 5 anos
779,2016.0,De 0 a 5 anos
780,2016.0,De 0 a 5 anos
781,2004.0,De 11 a 16 anos
782,2003.0,Acima de 17 anos
783,2015.0,De 0 a 5 anos
784,2008.0,De 11 a 16 anos
785,1971.0,Acima de 17 anos
786,1993.0,Acima de 17 anos
787,2015.0,De 0 a 5 anos
788,2009.0,De 11 a 16 anos
789,,
790,2019.0,De 0 a 5 anos
791,2019.0,De 0 a 5 anos
792,2006.0,De 11 a 16 anos
793,2013.0,De 6 a 10 anos
794,2008.0,De 11 a 16 anos
795,2007.0,De 11 a 16 anos
796,,
797,1995.0,Acima de 17 anos
798,1995.0,Acima de 17 anos
799,2017.0,De 0 a 5 anos
800,2017.0,De 0 a 5 anos
801,1993.0,Acima de 17 anos
802,1969.0,Acima de 17 anos
803,2018.0,De 0 a 5 anos
804,2014.0,De 6 a 10 anos
805,2018.0,De 0 a 5 anos
806,2009.0,De 11 a 16 anos
807,1998.0,Acima de 17 anos
808,1996.0,Acima de 17 anos
809,2010.0,De 6 a 10 anos
810,2015.0,De 0 a 5 anos
811,1988.0,Acima de 17 anos
812,2007.0,De 11 a 16 anos
813,2016.0,De 0 a 5 anos
814,2004.0,De 11 a 16 anos
815,1998.0,Acima de 17 anos
816,1993.0,Acima de 17 anos
817,2018.0,De 0 a 5 anos
